id;obs_id;obs_name
75854886;3462954,4264458;franzgraf,dawae7
75855224;4323624,4264458;hederahelix,dawae7
75855561;4323624,477431,4264458;hederahelix,carnifex,dawae7
75856808;3321203,2626695,3321203,2438113,3321203,3321203;juergenspangenberg,brothernorbert,juergenspangenberg,pastabaum,juergenspangenberg,juergenspangenberg
75857024;2814429,579740;drosophila,alex_cicindela_guy
75857530;4323624,4264458;hederahelix,dawae7
75857599;4323624,2626695,4264458;hederahelix,brothernorbert,dawae7
75857664;4323624,4264458;hederahelix,dawae7
75857778;4323624,4264458;hederahelix,dawae7
75857908;4323624,4264458;hederahelix,dawae7
75857915;4319081,1485790;emmsdmh,cpu
75858134;4240784,4264458,2626695,2438113,4264458,4264458;kleeumgebung,dawae7,brothernorbert,pastabaum,dawae7,dawae7
75858223;4323624,4264458,933540;hederahelix,dawae7,duch
75858568;2814429,2595369;drosophila,bagous
75858697;1374169,4264458,2626695,4264458,1374169;felix_riegel,dawae7,brothernorbert,dawae7,felix_riegel
75858854;4323624;hederahelix
75859133;4323624,4264458;hederahelix,dawae7
75859392;4323624,2626695,4264458;hederahelix,brothernorbert,dawae7
75859414;2814429,477431;drosophila,carnifex
75859505;4323624,2626695,4264458;hederahelix,brothernorbert,dawae7
75859630;4323624,4264458;hederahelix,dawae7
75859823;4323624;hederahelix
75860037;4323624,4323624,2626695,477431;hederahelix,hederahelix,brothernorbert,carnifex
75860143;4323624,2626695,1479221,4264458;hederahelix,brothernorbert,mondseeirrsee,dawae7
75860362;4240784,2435044;kleeumgebung,igor_kuzmin
75860365;3321203,3321203,2626695,3321203;juergenspangenberg,juergenspangenberg,brothernorbert,juergenspangenberg
75860401;4319081,1530852;emmsdmh,lupoli_roland
75860453;4323624,2626695,4264458;hederahelix,brothernorbert,dawae7
75860535;4319081,1354240,2554087;emmsdmh,opolasek,pedro3111
75860714;4319081,2626695,477431,2438113;emmsdmh,brothernorbert,carnifex,pastabaum
75860874;2930936,2397403;anaxvp,armin15
75860990;1485790,2626695;cpu,brothernorbert
75861257;4321559,1485790,2438113,477431;philosoph666,cpu,pastabaum,carnifex
75862044;4179320,1101184;lena04,sabersthedragon
75863509;4323624,2626695,4264458;hederahelix,brothernorbert,dawae7
75863540;4319081,960916;emmsdmh,szucsich
75863798;4319081,899878,477431;emmsdmh,irmi,carnifex
75863835;1471889,2626695;lrasran,brothernorbert
75863916;4319081,1731739;emmsdmh,frank007
75865312;4321559,2626695,2438113;philosoph666,brothernorbert,pastabaum
75865586;4321559,2626695;philosoph666,brothernorbert
75866065;2930936,2626695;anaxvp,brothernorbert
75867501;4270921,1485790,4235899,4270921;sonstwer,cpu,ninano,sonstwer
75867573;4321559,2438113,477431;philosoph666,pastabaum,carnifex
75867838;4321559,2626695,477431;philosoph666,brothernorbert,carnifex
75867931;3326177,3666055,155951,4323624,4323624,3666055;carissab,cleeb,tom-kirschey,hederahelix,hederahelix,cleeb
75868146;1485790,2435044,2626695;cpu,igor_kuzmin,brothernorbert
75868451;4240784,1719032,4235899,4270921;kleeumgebung,thekakarinka,ninano,sonstwer
75868813;4270921,4319548,4319548,4270921,4270921;sonstwer,lukas_theil,lukas_theil,sonstwer,sonstwer
75871960;474425,2626695;pearmonger,brothernorbert
75872872;3462954,1731739;franzgraf,frank007
75872906;2814429,2595369;drosophila,bagous
75874010;3462954,2626695,1479221;franzgraf,brothernorbert,mondseeirrsee
75874968;4321559,2438113;philosoph666,pastabaum
75875026;474425,270365;pearmonger,malacoderm
75875938;474425,2437460,677256;pearmonger,alexmaringer,alanhorstmann
75876101;4270945,2438113,4270945;eremiphilia,pastabaum,eremiphilia
75876142;3462954,2626695,477431;franzgraf,brothernorbert,carnifex
75876258;474425,2438113;pearmonger,pastabaum
75876393;474425,2438113;pearmonger,pastabaum
75877543;474425,2438113;pearmonger,pastabaum
75877715;3462954,2626695,477431;franzgraf,brothernorbert,carnifex
75878130;474425,2437460;pearmonger,alexmaringer
75878446;474425,960916,2465059;pearmonger,szucsich,glycymeris
75878631;474425,1479221,474425;pearmonger,mondseeirrsee,pearmonger
75879040;474425,1731739,477431;pearmonger,frank007,carnifex
75879266;474425,1731739,793005;pearmonger,frank007,twan3253
75879585;4270945,2438113;eremiphilia,pastabaum
75879606;3462954;franzgraf
75879654;474425,1485790,2032730;pearmonger,cpu,waldgeist
75880042;474425,1731739,4019348,477431;pearmonger,frank007,nabu-nvp,carnifex
75880123;3378753,3014019;barnabywalters,jolesh
75880125;3378753,180811;barnabywalters,borisb
75880127;3378753;barnabywalters
75880134;3378753,1731739,2329740,477431;barnabywalters,frank007,karimstrohriegl,carnifex
75880137;3378753;barnabywalters
75880143;3378753,2626695;barnabywalters,brothernorbert
75880149;3378753,1546239;barnabywalters,louis_raginwulf
75880151;3378753,1659797;barnabywalters,teadrivendev
75880153;3378753;barnabywalters
75880154;3378753,3666055,155951,3378753;barnabywalters,cleeb,tom-kirschey,barnabywalters
75880156;3378753,2032730;barnabywalters,waldgeist
75880159;3378753,3666055,155951;barnabywalters,cleeb,tom-kirschey
75880166;3378753;barnabywalters
75880169;3378753,2438113;barnabywalters,pastabaum
75880173;3378753,2886668;barnabywalters,frank375
75880180;3378753,358730,1530852;barnabywalters,kgrebennikov,lupoli_roland
